FormatID,FormatName,FormatVersion,ReleaseDate,ExternalSignature,PUID,MIME,Source
668,JPEG File Interchange Format,1.01,1992,jpg jpe jpeg jif jfif jfi,fmt/43,image/jpeg,https://jpeg.org/jpeg/
669,JPEG File Interchange Format,1.02,01 Sep 1992,jpg jpe jpeg jif jfif jfi,fmt/44,image/jpeg,https://www.nationalarchives.gov.uk/PRONOM/fmt/44
1099,Tagged Image File Format,,01 Aug 1986,tif tiff,fmt/353,image/tiff,https://www.nationalarchives.gov.uk/PRONOM/fmt/353
672,Exchangeable Image File Format (Uncompressed),2.2,2002/04,tif tiff,x-fmt/387,image/tiff,https://www.cipa.jp/std/documents/e/DC-008-2012_E.pdf
643,Extensible Hypertext Markup Language,1.0,26 Jan 2000,html htm,fmt/102,application/xhtml+xml,https://www.nationalarchives.gov.uk/PRONOM/fmt/102
799,Tagged Image File Format for Internet Fax (TIFF-FX),,1986/09/12,tif tiff tfx,fmt/156,image/tiff,https://nl.wikipedia.org/wiki/Tagged_image_file_format
615,Acrobat PDF 1.2 - Portable Document Format,1.2,1996/11,pdf,fmt/16,application/pdf,https://www.prepressure.com/pdf/basics/version
690,Microsoft Word Document,97-2003,1996/02/28,doc wbk,fmt/40,application/msword,https://microsoft.fandom.com/wiki/Microsoft_Office_97
637,Acrobat PDF 1.6 - Portable Document Format,1.6,01 Jan 2004,pdf,fmt/20,application/pdf,https://www.nationalarchives.gov.uk/PRONOM/fmt/20
822,Microsoft Outlook Email Message,97-2003,1996/02/28,msg oft,x-fmt/430,,https://microsoft.fandom.com/wiki/Microsoft_Office_97
163,Plain Text File,,1963,txt,x-fmt/111,text/plain,https://everydaycomputeruser.blogspot.com/2020/11/plain-text.html
1160,Microsoft Word for Windows,2007 onwards,2007/01/30,docx wbk,fmt/412,application/vnd.openxmlformats-officedocument.wordprocessingml.document,https://microsoft.fandom.com/wiki/Microsoft_Office_2007
684,Microsoft Excel 97 Workbook (xls),8,1996/02/28,xls xlw,fmt/61,application/vnd.ms-excel,https://microsoft.fandom.com/wiki/Microsoft_Office_97
135,Microsoft Powerpoint Presentation,97-2003,1996/02/28,ppt,fmt/126,application/vnd.ms-powerpoint,https://microsoft.fandom.com/wiki/Microsoft_Office_97
618,Acrobat PDF 1.5 - Portable Document Format,1.5,01 Jan 2003,pdf,fmt/19,application/pdf,https://www.nationalarchives.gov.uk/PRONOM/fmt/19
617,Acrobat PDF 1.4 - Portable Document Format,1.4,01 Dec 2001,pdf,fmt/18,application/pdf,https://www.nationalarchives.gov.uk/PRONOM/fmt/18
616,Acrobat PDF 1.3 - Portable Document Format,1.3,11 Mar 1999,pdf,fmt/17,application/pdf,https://www.nationalarchives.gov.uk/PRONOM/fmt/17
671,Still Picture Interchange File Format,1.0,1996,spf jpg,fmt/112,image/jpeg,https://www.loc.gov/preservation/digital/formats/fdd/fdd000019.shtml
